gold_value,output_value,micro,operation,error_site,precision,input_size,gold_value_parsed,output_value_parsed,diff_value,relative_diff
1352681052,0,FMUL,2,pipeline,float,small,21511725056.0,0.0,21511725056.0,1.0
1352681052,0,FMUL,2,pipeline,float,small,21511725056.0,0.0,21511725056.0,1.0
1352681052,0,FMUL,2,pipeline,float,small,21511725056.0,0.0,21511725056.0,1.0
1352681052,0,FMUL,2,pipeline,float,small,21511725056.0,0.0,21511725056.0,1.0
1352681052,0,FMUL,2,pipeline,float,small,21511725056.0,0.0,21511725056.0,1.0
1352681052,0,FMUL,2,pipeline,float,small,21511725056.0,0.0,21511725056.0,1.0
1352681052,0,FMUL,2,pipeline,float,small,21511725056.0,0.0,21511725056.0,1.0
1352681052,0,FMUL,2,pipeline,float,small,21511725056.0,0.0,21511725056.0,1.0
1352681052,0,FMUL,2,pipeline,float,small,21511725056.0,0.0,21511725056.0,1.0
1352681052,1357075918,FMUL,2,pipeline,float,small,21511725056.0,30512410624.0,-9000685568.0,0.4184083584449472
1352681052,0,FMUL,2,pipeline,float,small,21511725056.0,0.0,21511725056.0,1.0
1352681052,966075879,FMUL,2,pipeline,float,small,21511725056.0,0.0002844773407559842,21511725055.999714,0.9999999999999867
1352681052,1352156764,FMUL,2,pipeline,float,small,21511725056.0,20437983232.0,1073741824.0,0.0499142593727282
1352681052,1352681020,FMUL,2,pipeline,float,small,21511725056.0,21511659520.0,65536.0,3.0465246199174926e-06
1352681052,1352681054,FMUL,2,pipeline,float,small,21511725056.0,21511729152.0,-4096.0,1.9040778874484328e-07
1352681052,1352156764,FMUL,2,pipeline,float,small,21511725056.0,20437983232.0,1073741824.0,0.0499142593727282
1352681052,1413149683,FMUL,2,pipeline,float,small,21511725056.0,3211826823168.0,-3190315098112.0,148.305869929393
1352681052,1352680540,FMUL,2,pipeline,float,small,21511725056.0,21510676480.0,1048576.0,4.874439391867988e-05
1352681052,1353729628,FMUL,2,pipeline,float,small,21511725056.0,23659208704.0,-2147483648.0,0.0998285187454564
1352681052,1346006484,FMUL,2,pipeline,float,small,21511725056.0,12511039488.0,9000685568.0,0.4184083584449472
1352681052,1352689244,FMUL,2,pipeline,float,small,21511725056.0,21528502272.0,-16777216.0,0.0007799103026988781
1352681052,1352943196,FMUL,2,pipeline,float,small,21511725056.0,22048595968.0,-536870912.0,0.0249571296863641
1352681052,1352697436,FMUL,2,pipeline,float,small,21511725056.0,21545279488.0,-33554432.0,0.0015598206053977562
1352681052,1352943196,FMUL,2,pipeline,float,small,21511725056.0,22048595968.0,-536870912.0,0.0249571296863641
1352681052,1346006484,FMUL,2,pipeline,float,small,21511725056.0,12511039488.0,9000685568.0,0.4184083584449472
1352681052,1352681056,FMUL,2,pipeline,float,small,21511725056.0,21511733248.0,-8192.0,3.8081557748968657e-07
1352681052,1352685148,FMUL,2,pipeline,float,small,21511725056.0,21520113664.0,-8388608.0,0.00038995515134943905
1352681052,1352681053,FMUL,2,pipeline,float,small,21511725056.0,21511727104.0,-2048.0,9.520389437242164e-08
1352681052,1352681180,FMUL,2,pipeline,float,small,21511725056.0,21511987200.0,-262144.0,1.218609847966997e-05
1352681052,1419789916,FMUL,2,pipeline,float,small,21511725056.0,5507001614336.0,-5485489889280.0,255.0
1352681052,1352681048,FMUL,2,pipeline,float,small,21511725056.0,21511716864.0,8192.0,3.8081557748968657e-07
1352681052,1352664668,FMUL,2,pipeline,float,small,21511725056.0,21478170624.0,33554432.0,0.0015598206053977562
1352681052,1352685148,FMUL,2,pipeline,float,small,21511725056.0,21520113664.0,-8388608.0,0.00038995515134943905
1182018643,1182018642,FMUL,2,pipeline,float,common,15627.0810546875,15627.080078125,0.0009765625,6.249167688978424e-08
1182018643,3329502291,FMUL,2,pipeline,float,common,15627.0810546875,-15627.0810546875,31254.162109375,2.0
1182018643,3329502291,FMUL,2,pipeline,float,common,15627.0810546875,-15627.0810546875,31254.162109375,2.0
1182018643,0,FMUL,2,pipeline,float,common,15627.0810546875,0.0,15627.0810546875,1.0
1182018643,0,FMUL,2,pipeline,float,common,15627.0810546875,0.0,15627.0810546875,1.0
1182018643,0,FMUL,2,pipeline,float,common,15627.0810546875,0.0,15627.0810546875,1.0
1182018643,0,FMUL,2,pipeline,float,common,15627.0810546875,0.0,15627.0810546875,1.0
1182018643,0,FMUL,2,pipeline,float,common,15627.0810546875,0.0,15627.0810546875,1.0
1182018643,17006450,FMUL,2,pipeline,float,common,15627.0810546875,2.415233752078782e-38,15627.0810546875,1.0
1182018643,0,FMUL,2,pipeline,float,common,15627.0810546875,0.0,15627.0810546875,1.0
1182018643,0,FMUL,2,pipeline,float,common,15627.0810546875,0.0,15627.0810546875,1.0
1182018643,0,FMUL,2,pipeline,float,common,15627.0810546875,0.0,15627.0810546875,1.0
1182018643,0,FMUL,2,pipeline,float,common,15627.0810546875,0.0,15627.0810546875,1.0
1182018643,0,FMUL,2,pipeline,float,common,15627.0810546875,0.0,15627.0810546875,1.0
1182018643,0,FMUL,2,pipeline,float,common,15627.0810546875,0.0,15627.0810546875,1.0
1182018643,0,FMUL,2,pipeline,float,common,15627.0810546875,0.0,15627.0810546875,1.0
1182018643,67337967,FMUL,2,pipeline,float,common,15627.0810546875,1.5457261043577707e-36,15627.0810546875,1.0
1182018643,0,FMUL,2,pipeline,float,common,15627.0810546875,0.0,15627.0810546875,1.0
1182018643,0,FMUL,2,pipeline,float,common,15627.0810546875,0.0,15627.0810546875,1.0
1182018643,0,FMUL,2,pipeline,float,common,15627.0810546875,0.0,15627.0810546875,1.0
1182018643,0,FMUL,2,pipeline,float,common,15627.0810546875,0.0,15627.0810546875,1.0
1182018643,0,FMUL,2,pipeline,float,common,15627.0810546875,0.0,15627.0810546875,1.0
1182018643,0,FMUL,2,pipeline,float,common,15627.0810546875,0.0,15627.0810546875,1.0
1182018643,0,FMUL,2,pipeline,float,common,15627.0810546875,0.0,15627.0810546875,1.0
1182018643,0,FMUL,2,pipeline,float,common,15627.0810546875,0.0,15627.0810546875,1.0
1182018643,0,FMUL,2,pipeline,float,common,15627.0810546875,0.0,15627.0810546875,1.0
1182018643,0,FMUL,2,pipeline,float,common,15627.0810546875,0.0,15627.0810546875,1.0
1182018643,0,FMUL,2,pipeline,float,common,15627.0810546875,0.0,15627.0810546875,1.0
1182018643,0,FMUL,2,pipeline,float,common,15627.0810546875,0.0,15627.0810546875,1.0
1182018643,0,FMUL,2,pipeline,float,common,15627.0810546875,0.0,15627.0810546875,1.0
1182018643,0,FMUL,2,pipeline,float,common,15627.0810546875,0.0,15627.0810546875,1.0
1182018643,0,FMUL,2,pipeline,float,common,15627.0810546875,0.0,15627.0810546875,1.0
1182018643,0,FMUL,2,pipeline,float,common,15627.0810546875,0.0,15627.0810546875,1.0
1182018643,0,FMUL,2,pipeline,float,common,15627.0810546875,0.0,15627.0810546875,1.0
1182018643,0,FMUL,2,pipeline,float,common,15627.0810546875,0.0,15627.0810546875,1.0
1182018643,0,FMUL,2,pipeline,float,common,15627.0810546875,0.0,15627.0810546875,1.0
1182018643,0,FMUL,2,pipeline,float,common,15627.0810546875,0.0,15627.0810546875,1.0
1182018643,0,FMUL,2,pipeline,float,common,15627.0810546875,0.0,15627.0810546875,1.0
1182018643,0,FMUL,2,pipeline,float,common,15627.0810546875,0.0,15627.0810546875,1.0
1182018643,0,FMUL,2,pipeline,float,common,15627.0810546875,0.0,15627.0810546875,1.0
1182018643,0,FMUL,2,pipeline,float,common,15627.0810546875,0.0,15627.0810546875,1.0
1182018643,0,FMUL,2,pipeline,float,common,15627.0810546875,0.0,15627.0810546875,1.0
1182018643,0,FMUL,2,pipeline,float,common,15627.0810546875,0.0,15627.0810546875,1.0
1182018643,0,FMUL,2,pipeline,float,common,15627.0810546875,0.0,15627.0810546875,1.0
1182018643,0,FMUL,2,pipeline,float,common,15627.0810546875,0.0,15627.0810546875,1.0
1182018643,3329502291,FMUL,2,pipeline,float,common,15627.0810546875,-15627.0810546875,31254.162109375,2.0
1182018643,0,FMUL,2,pipeline,float,common,15627.0810546875,0.0,15627.0810546875,1.0
1182018643,0,FMUL,2,pipeline,float,common,15627.0810546875,0.0,15627.0810546875,1.0
1182018643,0,FMUL,2,pipeline,float,common,15627.0810546875,0.0,15627.0810546875,1.0
1182018643,0,FMUL,2,pipeline,float,common,15627.0810546875,0.0,15627.0810546875,1.0
1182018643,0,FMUL,2,pipeline,float,common,15627.0810546875,0.0,15627.0810546875,1.0
1182018643,0,FMUL,2,pipeline,float,common,15627.0810546875,0.0,15627.0810546875,1.0
1182018643,1231205249,FMUL,2,pipeline,float,common,15627.0810546875,928568.0625,-912940.9814453125,58.42044193988913
1182018643,0,FMUL,2,pipeline,float,common,15627.0810546875,0.0,15627.0810546875,1.0
1182018643,1182153295,FMUL,2,pipeline,float,common,15627.0810546875,15758.5771484375,-131.49609375,0.008414629276563227
1182018643,1182018583,FMUL,2,pipeline,float,common,15627.0810546875,15627.0224609375,0.05859375,3.7495006133870545e-06
1182018643,1173630035,FMUL,2,pipeline,float,common,15627.0810546875,7813.54052734375,7813.54052734375,0.5
1182018643,1718889555,FMUL,2,pipeline,float,common,15627.0810546875,2.8826876483493545e+23,-2.8826876483493545e+23,1.8446744073709552e+19
1182018643,1182018117,FMUL,2,pipeline,float,common,15627.0810546875,15626.5673828125,0.513671875,3.287062204402651e-05
1182018643,1249127507,FMUL,2,pipeline,float,common,15627.0810546875,4000532.75,-3984905.6689453125,255.0
1182018643,1316236371,FMUL,2,pipeline,float,common,15627.0810546875,1024136384.0,-1024120756.9189453,65535.0
1182018643,1186300363,FMUL,2,pipeline,float,common,15627.0810546875,23232.896484375,-7605.8154296875,0.48670736416293553
1182018643,3329502291,FMUL,2,pipeline,float,common,15627.0810546875,-15627.0810546875,31254.162109375,2.0
1182018643,1718889555,FMUL,2,pipeline,float,common,15627.0810546875,2.8826876483493545e+23,-2.8826876483493545e+23,1.8446744073709552e+19
1182018643,1181988220,FMUL,2,pipeline,float,common,15627.0810546875,15597.37109375,29.7099609375,0.001901184286017906
1182018643,1181984980,FMUL,2,pipeline,float,common,15627.0810546875,15594.20703125,32.8740234375,0.0021036573191408068
1182018643,1182018405,FMUL,2,pipeline,float,common,15627.0810546875,15626.8486328125,0.232421875,1.487301909976865e-05
1182018643,1249127507,FMUL,2,pipeline,float,common,15627.0810546875,4000532.75,-3984905.6689453125,255.0
